"Gene.symbol","Gene.chromosome.primaryIdentifier","Gene.chromosomeLocation.start","Gene.chromosomeLocation.end","Gene.chromosomeLocation.strand","Gene.featureType"
"","chrXIV","360917","361486","-1","ORF"
"THO2","chrXIV","360924","365717","-1","ORF"
"NFU1","chrXI","361058","361828","-1","ORF"
"MHP1","chrX","361249","365445","1","ORF"
"","chrXIII","361305","362627","-1","transposable element gene"
"PET127","chrXV","361412","363814","1","ORF"
"PBP4","chrIV","361699","362256","-1","ORF"
"ATG21","chrXVI","361872","363362","1","ORF"
"FUR1","chrVIII","362115","362765","1","ORF"
"HNM1","chrVII","362225","363916","-1","ORF"
"PTM1","chrXI","362622","364193","1","ORF"
"SLC1","chrIV","362672","363583","-1","ORF"
"","chrXIII","362702","362830","1","ORF"
"ARP1","chrVIII","362999","364153","-1","ORF"
"","chrXIII","363064","363135","1","tRNA gene"
"RPS8B","chrV","363100","363702","1","ORF"
"DJP1","chrIX","363221","364519","1","ORF"
"NUP116","chrXIII","363364","366705","-1","ORF"
"INA17","chrXVI","363520","364068","-1","ORF"
"LHP1","chrIV","363952","364779","1","ORF"
"REX3","chrXII","364116","365330","1","ORF"
"RPL7A","chrVII","364335","365996","-1","ORF"
"ROD1","chrXV","364369","366882","1","ORF"
"MGR2","chrXVI","364386","364727","-1","ORF"
"","chrIV","364446","364817","-1","ORF"
"SSA4","chrV","364589","366517","1","ORF"
"SNR69","chrXI","364776","364876","1","snoRNA gene"
"TRM7","chrII","364787","365719","-1","ORF"
"IST3","chrIX","364889","365335","1","ORF"
"MSY1","chrXVI","364952","366430","1","ORF"
"","chrVIII","364965","365300","-1","ORF"
"KNH1","chrIV","365068","365874","-1","ORF"
"SNR39","chrVII","365163","365251","-1","snoRNA gene"
"","chrVIII","365340","367892","-1","ORF"
"PAN1","chrIX","365466","369908","-1","ORF"
"RGT1","chrXI","365605","369117","1","ORF"
"NSP1","chrX","365784","368373","1","ORF"
"","chrII","365976","366600","-1","ORF"
"YSF3","chrXIV","366033","366412","1","ORF"
"SNR6","chrXII","366235","366346","1","snRNA gene"
"SNR39B","chrVII","366374","366469","-1","snoRNA gene"
"ERI1","chrXVI","366529","366735","-1","ORF"
"","chrXII","366667","368124","-1","ORF"
"STP4","chrIV","366739","368211","-1","ORF"
"SRV2","chrXIV","366741","368321","1","ORF"
"RTT105","chrV","366802","367428","1","ORF"
"MPS2","chrVII","366925","368088","-1","ORF"
"PNG1","chrXVI","366927","368018","1","ORF"
"CNM1","chrII","366970","368184","-1","ORF"
"CSM3","chrXIII","366981","367934","1","ORF"
"","chrVIII","367747","367992","1","ORF"
"","chrII","367763","368191","1","ORF"
"NUP157","chrV","367838","372013","-1","ORF"
"EEB1","chrXVI","368071","369441","-1","ORF"
"ERB1","chrXIII","368094","370517","-1","ORF"
"","chrXV","368127","370319","1","ORF"
"ECM14","chrVIII","368502","369794","-1","ORF"
"ECM2","chrII","368584","369678","-1","ORF"
"NAM9","chrXIV","368595","370055","-1","ORF"
"","chrVII","368596","368922","-1","ORF"
"NUP192","chrX","368748","373799","-1","ORF"
"HSF1","chrVII","368753","371254","1","ORF"
"AHP1","chrXII","368781","369311","1","ORF"
"AIM26","chrXI","369365","369721","1","ORF"
"","chrXI","369528","369920","-1","ORF"
"CCW12","chrXII","369697","370098","-1","ORF"
"SIT4","chrIV","369771","370706","1","ORF"
"SEC62","chrXVI","369839","370663","-1","ORF"
"UGP1","chrXI","369891","371390","1","ORF"
"NRG2","chrII","370037","370699","-1","ORF"
"IGO2","chrVIII","370054","370449","1","ORF"
"EAF7","chrXIV","370368","371645","1","ORF"
"","chrXII","370391","370723","1","ORF"
"","chrIX","370417","370488","1","tRNA gene"
"HSP10","chrXV","370524","370844","-1","ORF"
"EGH1","chrIX","370704","372998","1","ORF"
"NSG1","chrVIII","370722","371597","-1","ORF"
"","chrXII","370791","371210","1","ORF"
"NOG1","chrXVI","370978","372921","1","ORF"
"","chrVII","371003","371362","-1","ORF"
"NPC2","chrIV","371240","371761","1","ORF"
"HOG1","chrXII","371620","372927","1","ORF"
"MCO10","chrXV","371685","371957","1","ORF"
"WSS1","chrVIII","371749","372558","1","ORF"
"TUL1","chrXI","371829","374105","1","ORF"
"FPR1","chrXIV","371882","372226","-1","ORF"
"AFT1","chrVII","372012","374084","1","ORF"
"TIP1","chrII","372103","372735","-1","ORF"
"MRP10","chrIV","372248","372535","1","ORF"
"MAM1","chrV","372326","373234","1","ORF"
"","chrXIII","372445","372518","-1","tRNA gene"
"","chrXIV","372451","373581","-1","ORF"
"FAD1","chrIV","372688","373608","-1","ORF"
"YCK1","chrVIII","372694","374310","-1","ORF"
"SFM1","chrXV","372798","373439","-1","ORF"
"","chrXIII","373057","378325","-1","transposable element gene"
"PRI1","chrIX","373077","374306","-1","ORF"
"GLE2","chrV","373448","374545","-1","ORF"
"DDL1","chrXV","373710","375857","-1","ORF"
"SSU1","chrXVI","373793","375169","1","ORF"
"BAP2","chrII","373861","375690","-1","ORF"
"MTF2","chrIV","373967","375289","-1","ORF"
"FYV6","chrXIV","374171","374692","-1","ORF"
"","chrXII","374355","374427","1","tRNA gene"
"","chrV","374394","374714","1","ORF"
"","chrX","374424","374495","-1","tRNA gene"
"RPB9","chrVII","374459","374827","-1","ORF"
"","chrXI","374505","375215","1","ORF"
"","chrX","374506","374577","-1","tRNA gene"
"MSL1","chrIX","374525","374860","1","ORF"
"SPL2","chrVIII","374654","375100","-1","ORF"
"","chrXIV","374869","374959","1","tRNA gene"
"AVL9","chrXII","374944","377238","-1","ORF"
"","chrVII","375050","375514","-1","ORF"
"MNP1","chrVII","375087","375671","1","ORF"
"LOH1","chrX","375115","375774","-1","ORF"
"","chrV","375211","376995","-1","ORF"
"FLO8","chrV","375215","377614","-1","blocked reading frame"
"KRE33","chrXIV","375321","378491","1","ORF"
"DSN1","chrIX","375431","377161","1","ORF"
"TTI1","chrXI","375456","378572","1","ORF"
"GLR1","chrXVI","375502","376953","1","ORF"
"PRP11","chrIV","375680","376480","-1","ORF"
"ARO9","chrVIII","375709","377250","1","ORF"
"","chrVIII","375738","376388","-1","ORF"
"AHC1","chrXV","376012","377712","-1","ORF"
"NPY1","chrVII","376101","377255","1","ORF"
"TAT1","chrII","376574","378433","-1","ORF"
"TBRT","chrII","376610","378633","1","ncRNA gene"
"IRC18","chrX","376662","377336","1","ORF"
"SIR2","chrIV","376757","378445","-1","ORF"
"","chrXIII","377003","378325","-1","transposable element gene"
"STS1","chrIX","377287","378246","-1","ORF"
"RPS6A","chrXVI","377291","378395","-1","ORF"
"","chrVIII","377355","377699","-1","ORF"
"SGF73","chrVII","377609","379582","1","ORF"
"","chrXV","377847","378170","1","ORF"
"RUF4","chrV","377955","378742","1","ncRNA gene"
"CFT2","chrXII","377985","380564","1","ORF"
"","chrIV","378102","378455","1","ORF"
"HST3","chrXV","378219","379562","1","ORF"
"SPS100","chrVIII","378219","379199","-1","ORF"
"SUT169","chrVIII","378254","379237","1","ncRNA gene"
"","chrX","378360","378433","1","tRNA gene"
"SQT1","chrIX","378486","379781","1","ORF"
"KAP123","chrV","378762","382103","-1","ORF"
"TOM22","chrXIV","378767","379225","1","ORF"
"SNX4","chrX","378825","380096","1","ORF"
"NAT1","chrIV","378874","381438","-1","ORF"
"RLM1","chrXVI","379120","381150","-1","ORF"
"ALG14","chrII","379221","379934","-1","ORF"
"","chrXIII","379303","379408","-1","tRNA gene"
"CPT1","chrXIV","379558","380831","-1","ORF"
"FAR3","chrXIII","379586","380200","1","ORF"
"","chrXI","379680","379753","1","tRNA gene"
"ALG2","chrVII","379760","381271","-1","ORF"
"BUB3","chrXV","379781","380806","1","ORF"
"GAT4","chrIX","380019","380384","-1","ORF"
"IXR1","chrXI","380065","381858","-1","ORF"
"","chrXIII","380069","380434","-1","ORF"
"","chrVIII","380108","380419","-1","ORF"
"TAD2","chrX","380249","381001","-1","ORF"
"STB2","chrXIII","380346","382898","-1","ORF"
"","chrII","380411","381046","1","ORF"
"","chrVIII","380572","381291","1","ORF"
"MSL5","chrXII","380822","382252","1","ORF"
"STI1","chrXV","381053","382822","1","ORF"
"VLD1","chrIX","381086","381814","1","ORF"
"DGR1","chrXIV","381245","381391","-1","ORF"
"KAR2","chrX","381327","383375","1","ORF"
"NRK1","chrXIV","381480","382202","1","ORF"
"MRH4","chrVII","381523","383208","-1","ORF"
"SNR32","chrVIII","381540","381727","1","snoRNA gene"
"RPR2","chrIX","381948","382382","1","ORF"
"","chrXVI","381965","382993","1","ORF"
"PRM7","chrIV","381985","384081","-1","ORF"
"RPL42B","chrVIII","381990","382751","-1","ORF"
"HSP26","chrII","382030","382674","1","ORF"
"","chrXI","382072","382485","1","ORF"
"","chrIV","382327","384078","-1","ORF"
"TEP1","chrXIV","382359","383663","1","ORF"
"CLF1","chrXII","382471","384534","-1","ORF"
"","chrXI","382498","383103","1","ORF"
"SWI4","chrV","382595","385876","-1","ORF"
"","chrIX","382628","383425","1","ORF"
"MAE1","chrXI","382716","384725","-1","ORF"
"","chrII","382860","383021","-1","ORF"
"RDH54","chrII","383112","385988","1","ORF"
"STV1","chrXIII","383303","385975","1","ORF"
"YDC1","chrXVI","383455","384408","1","ORF"
"CIN5","chrXV","383533","384420","-1","ORF"
"CHS7","chrVIII","383538","384488","1","ORF"
"MET28","chrIX","383556","384119","-1","ORF"
"","chrIX","383566","384165","1","ORF"
"PUS2","chrVII","383654","384766","1","ORF"
"HCA4","chrX","383837","386149","1","ORF"
"FAR11","chrXIV","383987","386848","1","ORF"
"","chrVII","384502","384651","-1","ORF"
"","chrXV","384600","384935","1","ORF"
"BSC1","chrIV","384601","385587","-1","ORF"
"YAP5","chrIX","384609","385346","1","ORF"
"TML25","chrXII","384725","385408","-1","ORF"
"ELP3","chrXVI","384773","386446","-1","ORF"
"PYC1","chrVII","385196","388732","1","ORF"
"DSE2","chrVIII","385510","386487","1","ORF"
"SRN2","chrXII","385534","386175","1","ORF"
"","chrIX","385564","385701","-1","ORF"
"TFA1","chrXI","385758","387206","1","ORF"
"BUB2","chrXIII","386101","387021","-1","ORF"
"PFF1","chrII","386286","389216","1","ORF"
"","chrX","386348","386662","1","ORF"
"BET4","chrX","386368","387438","-1","ORF"
"YPS1","chrXII","386511","388220","-1","ORF"
"DFG16","chrXV","386825","388684","1","ORF"
"SEC16","chrXVI","387067","393654","1","ORF"
"SPC98","chrXIV","387227","389767","1","ORF"
"LSM4","chrV","387232","387795","1","ORF"
"RPC10","chrVIII","387233","387445","1","ORF"
"AAC1","chrXIII","387315","388244","-1","ORF"
"PUS9","chrIV","387513","388901","-1","ORF"
"TCD2","chrXI","387562","388905","1","ORF"
"MAD2","chrX","387657","388247","1","ORF"
"DCD1","chrVIII","387788","388726","-1","ORF"
"","chrII","387793","389175","1","ORF"
"TMN3","chrV","387932","390052","-1","ORF"
"","chrXIII","388359","388730","-1","ORF"
"VPS53","chrX","388385","390853","-1","ORF"
"","chrXII","388672","388773","1","ORF"
"YPS3","chrXII","388744","390270","-1","ORF"
"FET3","chrXIII","388822","390732","1","ORF"
"SUF8","chrVIII","388893","388995","-1","tRNA gene"
"DUO1","chrVII","388968","389711","-1","ORF"
"","chrVIII","388981","389337","-1","ORF"
"GPR1","chrIV","389172","392057","-1","ORF"
"CRS5","chrXV","389213","389422","1","blocked reading frame"
"GPX1","chrXI","389380","389883","-1","ORF"
"FLO11","chrIX","389572","393675","-1","ORF"
"HMS1","chrXV","389771","391075","-1","ORF"
"YBP2","chrVII","390065","391990","1","ORF"
"ESBP6","chrXIV","390146","392167","-1","ORF"
"ECM8","chrII","390227","391291","1","ORF"
"PAN3","chrXI","390240","392279","-1","ORF"
"CRP1","chrVIII","390300","391697","1","ORF"
"BOI2","chrV","390590","393712","-1","ORF"
"","chrXII","390954","391331","-1","ORF"
"EMT5","chrX","391043","391115","-1","tRNA gene"
"","chrXII","391078","391407","-1","ORF"
"SEN15","chrXIII","391099","391485","1","ORF"
"","chrX","391311","391646","1","ORF"
"","chrII","391351","391617","-1","ORF"
"SAM37","chrXIII","391532","392515","-1","ORF"
"","chrXII","391600","391944","1","ORF"
"","chrIV","391783","392127","1","ORF"
"SLM4","chrII","391805","392293","-1","ORF"
"","chrX","391833","392249","-1","ORF"
"","chrXV","392176","392376","1","ORF"
"PKP2","chrVII","392223","393698","1","ORF"
"RNR2","chrX","392404","393603","1","ORF"
"EXO1","chrXV","392416","394524","-1","ORF"
"URA6","chrXI","392526","393140","-1","ORF"
"MRPL6","chrVIII","392639","393283","-1","ORF"
"SLM3","chrIV","392659","393912","-1","ORF"
"RNA14","chrXIII","392755","394788","1","ORF"
"NAF1","chrXIV","392892","394370","1","ORF"
"","chrX","393066","393287","-1","ORF"
"ECM33","chrII","393123","394742","1","ORF"
"MIN9","chrXI","393146","393373","-1","ORF"
"","chrXII","393484","393894","1","ORF"
"IMP3","chrVIII","393534","394085","1","ORF"
"","chrIV","393690","394001","1","ORF"
"SKA1","chrXI","393721","394554","1","ORF"
"ICR1","chrIX","393884","397082","-1","ncRNA gene"
"RRN7","chrX","393967","395511","1","ORF"
"RAD6","chrVII","393986","394504","1","ORF"
"BRO1","chrXVI","394038","396572","1","ORF"
"DBP10","chrIV","394217","397204","1","ORF"
"","chrIX","394255","394557","-1","ORF"
"SPR6","chrV","394292","394867","-1","ORF"
"SKG6","chrVIII","394455","396659","-1","ORF"
"NMA111","chrXIV","394685","397678","1","ORF"
"CDC16","chrXI","394726","397248","-1","ORF"
"","chrXII","394765","395520","-1","ORF"
"AKR2","chrXV","394837","397086","-1","ORF"
"","chrIX","394917","395159","1","ORF"
"GEP7","chrVII","394966","395829","-1","ORF"
"ARG7","chrXIII","395054","396379","-1","ORF"
"SLX8","chrV","395348","396172","-1","ORF"
"RPG1","chrII","395383","398277","-1","ORF"
"APC2","chrXII","395758","398319","-1","ORF"
"APS3","chrX","395931","396592","-1","ORF"
"PWR1","chrIX","395999","396939","1","ncRNA gene"
"SDS23","chrVII","396035","397618","-1","ORF"
"SEN54","chrXVI","396702","398105","-1","ORF"
"","chrX","396726","396796","-1","tRNA gene"
"RPL23B","chrV","396769","397653","1","ORF"
"RIM9","chrXIII","397077","397796","1","ORF"
"","chrIX","397215","397949","-1","ORF"
"PEX28","chrVIII","397251","398990","1","ORF"
"MRS1","chrIX","397294","398385","1","ORF"
"MAK11","chrXI","397344","398750","-1","ORF"
"PET130","chrX","397355","398398","-1","ORF"
"","chrXV","397426","397668","-1","ORF"
"PRP9","chrIV","397537","399129","1","ORF"
"SHE4","chrXV","397735","400104","-1","ORF"
"AEP1","chrXIII","397903","399459","1","ORF"
"SHO1","chrV","397952","399055","-1","ORF"
"MRP35","chrXIV","398023","398370","-1","ORF"
"","chrX","398109","398417","1","ORF"
"MOT1","chrXVI","398480","404083","-1","ORF"
"","chrIX","398514","398726","1","ORF"
"DCN1","chrXII","398530","399433","1","ORF"
"SEC18","chrII","398614","400890","-1","ORF"
"OLE1","chrVII","398628","400160","1","ORF"
"","chrX","398633","399730","-1","ORF"
"TOM70","chrXIV","398684","400537","-1","ORF"
"SEC11","chrIX","398733","399236","1","ORF"
"SPT23","chrXI","398832","402080","-1","ORF"
"BBC1","chrX","398937","402410","-1","ORF"
"MTC6","chrVIII","399268","400848","-1","ORF"
"ARP2","chrIV","399340","400638","1","ORF"
"AVT6","chrV","399496","400842","-1","ORF"
"DIP2","chrXII","399657","402488","1","ORF"
"KAR5","chrXIII","399702","401216","1","ORF"
"DAL81","chrIX","399777","402689","1","ORF"
"PEP12","chrXV","400348","401214","1","ORF"
"","chrV","400867","401238","-1","ORF"
"ERV14","chrVII","400871","401287","-1","ORF"
"","chrX","400981","401238","1","ORF"
"MPS1","chrIV","400997","403291","-1","ORF"
"","chrXIV","401033","401518","-1","ORF"
"NCS2","chrXIV","401040","402521","1","ORF"
"SCS2","chrV","401135","401869","1","ORF"
"SPT7","chrII","401253","405251","-1","ORF"
"SPO12","chrVIII","401434","401955","1","ORF"
"","chrVII","401527","401598","-1","tRNA gene"
"SOV1","chrXIII","401541","404237","1","ORF"
"CYC2","chrXV","401555","402655","1","ORF"
"SPO16","chrVIII","402086","402682","-1","ORF"
"","chrV","402375","402719","1","ORF"
"","chrIX","402383","402706","-1","ORF"
"RAM2","chrXI","402568","403518","1","ORF"
"PRM8","chrVII","402589","403302","1","ORF"
"DCP2","chrXIV","402652","405564","-1","ORF"
"HIR2","chrXV","402761","405388","-1","ORF"
"ZRT2","chrXII","402794","404062","-1","ORF"
"INA22","chrIX","402841","403491","-1","ORF"
"GLO3","chrV","402871","404352","-1","ORF"
"MPS3","chrX","402897","404945","1","ORF"
"RTT107","chrVIII","402966","406178","1","ORF"
"","chrVII","403437","403742","1","ORF"
"MCO12","chrXI","403580","403879","-1","ORF"
"MND2","chrIX","403659","404765","1","ORF"
"MST27","chrVII","403687","404391","1","ORF"
"MRX9","chrIV","403695","404957","-1","ORF"
"SWD2","chrXI","404102","405091","1","ORF"
"UBX4","chrXIII","404323","405573","-1","ORF"
"","chrX","404326","404640","1","ORF"
"ACE2","chrXII","404510","406822","-1","ORF"
"","chrIV","404749","405060","1","ORF"
"YCK3","chrV","404813","406387","1","ORF"
"YVH1","chrIX","404873","405967","-1","ORF"
"RPS9A","chrXVI","404950","406044","1","ORF"
"HCS1","chrXI","405190","407241","-1","ORF"
"","chrX","405284","406261","1","ORF"
"RTK1","chrIV","405344","407206","-1","ORF"
"","chrIV","405410","405514","1","ORF"
"","chrVII","405470","405541","1","tRNA gene"
"TPH3","chrX","405588","407273","1","ORF"
"CKB2","chrXV","405768","406544","1","ORF"
"TYW3","chrVII","405776","406597","1","ORF"
"","chrII","405878","405949","1","tRNA gene"
"","chrII","405960","406031","1","tRNA gene"
"","chrXVI","406172","406498","-1","ORF"
"DAL1","chrIX","406260","407642","-1","ORF"
"AVO2","chrXIII","406304","407584","1","ORF"
"MLS1","chrXIV","406358","408022","1","ORF"
"UBC4","chrII","406628","407169","-1","ORF"
"RPL21B","chrXVI","406636","407539","1","ORF"
"TIF4632","chrVII","406860","409604","-1","ORF"
"GLO4","chrXV","407064","407921","1","ORF"
"LAM1","chrVIII","407103","410789","1","ORF"
"","chrX","407142","407426","-1","ORF"
"USB1","chrXII","407283","408155","-1","ORF"
"DSE1","chrV","407342","409063","-1","ORF"
"ATP7","chrXI","407465","407989","-1","ORF"
"CCT3","chrX","407558","409162","1","ORF"
"NAT4","chrXIII","407709","408566","1","ORF"
"SNR9","chrXV","407948","408134","-1","snoRNA gene"
"ATP4","chrXVI","408010","408744","-1","ORF"
"DMA2","chrXIV","408341","409909","1","ORF"
"","chrXV","408358","408789","-1","ORF"
"CUE5","chrXV","408425","409660","1","ORF"
"CKI1","chrXII","408445","410193","1","ORF"
"DIA3","chrIV","408451","409857","-1","ORF"
"DAL4","chrIX","408468","410375","1","ORF"
"PUT3","chrXI","408544","411483","1","ORF"
"MOT3","chrXIII","409154","410626","1","ORF"
"TEC1","chrII","409169","410629","1","ORF"
"","chrXVI","409368","410090","-1","ORF"
"MAD3","chrX","409493","411040","-1","ORF"
"SNR62","chrXV","409765","409864","-1","snoRNA gene"
"","chrIV","409808","410056","-1","ORF"
"RPT6","chrVII","410069","411286","-1","ORF"
"","chrXIV","410119","412053","-1","ORF"
"RSP5","chrV","410189","412618","1","ORF"
"","chrIV","410379","410451","1","tRNA gene"
"GPI2","chrXVI","410443","411285","1","ORF"
"PDC5","chrXII","410723","412414","1","ORF"
"TVP18","chrXIII","410762","411265","-1","ORF"
"DAL2","chrIX","410807","411838","1","ORF"
"WHI2","chrXV","410870","412330","1","ORF"
"","chrX","410930","411127","-1","ORF"
"MIS1","chrII","411054","413981","1","ORF"
"SNR71","chrVIII","411228","411317","1","snoRNA gene"
"VTC4","chrX","411234","413399","-1","ORF"
"LIN1","chrVIII","411384","412406","-1","ORF"
"ALG13","chrVII","411552","412160","1","ORF"
"ABF2","chrXIII","411569","412120","1","ORF"
"URB1","chrXI","411619","416913","-1","ORF"
"","chrIV","411761","412081","-1","ORF"
"GPD1","chrIV","411825","413000","1","ORF"
"DCG1","chrIX","412036","412770","-1","ORF"
"GCR1","chrXVI","412254","415362","1","ORF"
"IRC21","chrXIII","412268","412873","-1","ORF"
"","chrVII","412294","412367","-1","tRNA gene"
"","chrXIV","412684","413055","-1","ORF"
"RPC19","chrXIV","412771","413199","1","ORF"
"","chrIX","412899","413282","1","ORF"
"REC104","chrVIII","412907","413455","1","ORF"
"IRC23","chrXV","413007","413480","1","ORF"
"DAL7","chrIX","413015","414679","-1","ORF"
"SDD2","chrXIII","413036","413473","-1","ORF"
"SLX4","chrXII","413281","415527","1","ORF"
"NSA2","chrV","413394","414179","-1","ORF"
"DBP2","chrXIV","413639","416281","1","ORF"
"KEL1","chrVIII","413685","417179","-1","ORF"
"TOM6","chrXV","413852","414037","1","ORF"
"GPM2","chrIV","413953","414888","1","ORF"
"RCO1","chrXIII","413982","416036","1","ORF"
"","chrVII","414100","414888","1","ORF"
"RIM8","chrVII","414102","415730","1","ORF"
"RPL19A","chrII","414186","415261","-1","ORF"
"RPC17","chrX","414285","414770","-1","ORF"
"DBP5","chrXV","414459","415907","-1","ORF"
"LCP5","chrV","414481","415554","1","ORF"
"","chrX","414966","415038","1","tRNA gene"
"DAL3","chrIX","415030","415617","-1","ORF"
"RPN4","chrIV","415113","416708","-1","ORF"
"","chrXIII","415688","416053","-1","ORF"
"YTA6","chrXVI","415763","418027","1","ORF"
"TIS11","chrXII","415801","416658","-1","ORF"
"VFA1","chrV","415859","416470","1","ORF"
"","chrX","415931","416036","-1","tRNA gene"
"AAC3","chrII","415983","416906","1","ORF"
"MGA2","chrIX","416124","419465","1","ORF"
"RNA15","chrVII","416146","417036","-1","ORF"
"PDS5","chrXIII","416196","420029","-1","ORF"
"STD1","chrXV","416347","417681","-1","ORF"
"CYB5","chrXIV","416940","417302","-1","ORF"
"RKM5","chrXII","417006","418109","1","ORF"
"SAK1","chrV","417281","420709","1","ORF"
"DST1","chrVII","417483","418412","1","ORF"
"ARC19","chrXI","417508","418023","-1","ORF"
"TDA11","chrVIII","417549","419063","1","ORF"
"NOP9","chrX","417562","419562","-1","ORF"
"OSH2","chrIV","417663","421514","-1","ORF"
"NOP15","chrXIV","417826","418488","-1","ORF"
"","chrVII","418288","418593","-1","ORF"
"PRP40","chrXI","418310","420061","1","ORF"
"NHA1","chrXII","418437","421394","1","ORF"
"","chrXVI","418499","418984","-1","ORF"
"UBP16","chrXVI","418512","420011","1","ORF"
"RAT1","chrXV","418630","421650","-1","ORF"
"","chrVII","418704","418886","-1","ORF"
"DPC13","chrVII","418825","419289","1","ORF"
"","chrII","418907","419164","-1","ORF"
"","chrXIV","418964","419509","1","ORF"
"","chrXIV","419014","419826","-1","ORF"
"","chrVII","419022","419225","-1","ORF"
"PEX18","chrVIII","419221","420072","-1","ORF"
"HEM2","chrVII","419527","420555","-1","ORF"
"LYS1","chrIX","419615","420736","-1","ORF"
"","chrX","419855","420181","1","ORF"
"CCT8","chrX","419957","421663","-1","ORF"
"","chrXVI","420048","420518","-1","ORF"
"YAF9","chrXIV","420098","420778","1","ORF"
"CCE1","chrXI","420155","421216","-1","ORF"
"IST2","chrII","420201","423041","-1","ORF"
"YAP1801","chrVIII","420373","422286","-1","ORF"
"","chrXIII","420588","420661","-1","tRNA gene"
"INP52","chrXIV","420944","424495","-1","ORF"
"MUK1","chrXVI","420948","422786","1","ORF"
"NRE1","chrIX","421026","421790","-1","ORF"
"COM2","chrV","421115","422446","-1","ORF"
"UFD4","chrXI","421424","425875","-1","ORF"
"VPS20","chrXIII","421484","422149","-1","ORF"
"SLS1","chrXII","421542","423473","-1","ORF"
"IRC24","chrIX","422074","422865","-1","ORF"
"CTF18","chrXIII","422503","424728","-1","ORF"
"","chrIX","422635","423036","1","ORF"
"RSB1","chrXV","422668","423732","-1","ORF"
"","chrX","422698","423012","-1","ORF"
"ERP3","chrIV","422833","423510","-1","ORF"
"BTS1","chrXVI","422885","423892","-1","ORF"
"EMT3","chrX","422937","423009","1","tRNA gene"
"MPC2","chrVIII","423072","423461","1","ORF"
"SUP54","chrVII","423092","423205","1","tRNA gene"
"HYR1","chrIX","423128","423619","1","ORF"
"CTK2","chrX","423138","424109","-1","ORF"
"","chrXII","423474","423800","1","ORF"
"RRN5","chrXII","423683","424774","1","ORF"
"SOL3","chrVIII","423724","424473","1","ORF"
"RFC5","chrII","423765","424829","1","ORF"
"GTT1","chrIX","423809","424513","-1","ORF"
"RPS26B","chrV","423952","424311","1","ORF"
"","chrVII","423961","425007","1","ORF"
"RRT16","chrXIV","424155","424583","1","ORF"
"CDC7","chrIV","424209","425732","1","ORF"
"","chrXVI","424215","425096","-1","ORF"
"","chrXV","424270","424617","-1","ORF"
"SUP51","chrX","424432","424515","-1","tRNA gene"
"DNA2","chrVIII","424610","429178","-1","ORF"
"SNR4","chrV","424698","424883","1","snoRNA gene"
"ETT1","chrXV","424846","426084","-1","ORF"
"LEU4","chrXIV","424895","426754","-1","ORF"
"SEC14","chrXIII","424989","426059","1","ORF"
"POL30","chrII","424990","425766","-1","ORF"
"CYR1","chrX","425157","431237","1","ORF"
"","chrII","425183","425782","1","ORF"
"PUT1","chrXII","425186","426616","1","ORF"
"PMD1","chrV","425188","430449","-1","ORF"
"HTC1","chrXVI","425251","425847","-1","ORF"
"OCH1","chrVII","425362","426804","-1","ORF"
"","chrIV","425570","425872","-1","ORF"
"TSC13","chrIV","426002","426934","-1","ORF"
"NHP6B","chrII","426190","426489","-1","ORF"
"RGL1","chrXVI","426233","427672","1","ORF"
"MRT4","chrXI","426242","426952","1","ORF"
"","chrII","426333","427058","-1","ORF"
"NAM7","chrXIII","426712","429627","-1","ORF"
"","chrXIV","426719","426808","1","ORF"
"TMC1","chrXV","426772","427224","-1","ORF"
"","chrXII","427132","427203","1","tRNA gene"
"TIM12","chrII","427155","427484","-1","ORF"
"LAC1","chrXI","427295","428551","-1","ORF"
"PNC1","chrVII","427297","427947","-1","ORF"
"DPH6","chrXII","427329","429386","1","ORF"
"NOP1","chrIV","427364","428347","1","ORF"
"PHO3","chrII","427698","429101","-1","ORF"
"MET4","chrXIV","427735","429753","1","ORF"
"","chrXV","427817","428158","1","ORF"
"VHS3","chrXV","427833","429857","-1","ORF"
"VPS28","chrXVI","427927","428655","1","ORF"
"VIR1","chrVII","428601","431330","1","ORF"
"CWC27","chrXVI","428711","429616","-1","ORF"
"SLX5","chrIV","429067","430926","1","ORF"
"CAP1","chrXI","429302","430108","1","ORF"
"","chrXV","429478","429912","1","ORF"
"PHO5","chrII","429548","430951","-1","ORF"
"ACF2","chrXII","429677","432016","-1","ORF"
"PRP8","chrVIII","429707","436948","-1","ORF"
"TIM50","chrXVI","429939","431369","1","ORF"
"ISF1","chrXIII","430079","431095","-1","ORF"
"POL1","chrXIV","430087","434493","1","ORF"
"SFT1","chrXI","430198","430632","-1","ORF"
"NOB1","chrXV","430247","431626","-1","ORF"
"YPS6","chrIX","430498","432111","-1","ORF"
"SNR87","chrXI","431030","431138","-1","snoRNA gene"
"","chrIV","431108","431517","-1","ORF"
"SNR52","chrV","431129","431220","-1","snoRNA gene"
"MIG1","chrVII","431548","433062","-1","ORF"
"SYS1","chrX","431589","432200","-1","ORF"
"","chrXIII","431769","432125","-1","ORF"
"","chrXVI","431895","432299","1","ORF"
"RPL14A","chrXI","431906","432720","1","ORF"
"PBY1","chrII","432036","434297","1","ORF"
"RMP1","chrXII","432168","432773","1","ORF"
"SGT1","chrXV","432186","433373","1","ORF"
"","chrIV","432308","432631","-1","ORF"
"GRX6","chrIV","432330","433025","1","ORF"
"GLC7","chrV","432495","433958","1","ORF"
